Metric;AP;SP;Hybrid AP-SP;t-SNE SP;t-SNE AP-SP
ROC thr old;0.68748;0.66199;0.74304;0.65300;0.67038
PR thr old;0.44563;0.40009;0.37450;0.41442;0.48019
ROC AUC;0.86667;1.00000;0.86667;0.76667;0.96667
gmean (ROC thr old);0.57735;0.91287;0.81650;0.73030;0.91287
F1 (ROC thr old);0.50000;0.90909;0.83333;0.72727;0.90909
Accuracy (ROC thr old);63.63636;90.90909;81.81818;72.72727;90.90909
PR AUC;0.85754;1.00000;0.92963;0.85240;0.97421
gmean (PR thr old);0.63246;1.00000;0.70711;0.00000;0.89443
F1 (PR thr old);0.80000;1.00000;0.76923;0.70588;0.92308
Accuracy (PR thr old);72.72727;100.00000;72.72727;54.54545;90.90909
gmean (0.5);0.81650;1.00000;0.81650;0.00000;0.89443
F1 (0.5);0.83333;1.00000;0.83333;0.70588;0.92308
Accuracy (0.5);81.81818;100.00000;81.81818;54.54545;90.90909
